Category url,Category id,Category name,Number items,Parent category id,Sub category id
https://www.sendo.vn/thiet-bi-y-te/dung-cu-vat-ly-tri-lieu/gay-nang-tap-di/,2734,"Khung, nạng, gậy tập đi",156,1992-2821-2734,2822-2734-2735-2737-2736
https://www.sendo.vn/thiet-bi-y-te/dung-cu-vat-ly-tri-lieu/tui-chuom/,2735,Túi chườm,424,1992-2821-2735,2822-2734-2735-2737-2736
https://www.sendo.vn/thiet-bi-y-te/dung-cu-vat-ly-tri-lieu/dung-cu-vat-ly-tri-lieu-khac/,2736,Dụng cụ vật lý trị liệu khác,728,1992-2821-2736,2822-2734-2735-2737-2736
https://www.sendo.vn/thiet-bi-y-te/dung-cu-vat-ly-tri-lieu/massage-go/,2737,Dụng cụ massage bằng gỗ,144,1992-2821-2737,2822-2734-2735-2737-2736
https://www.sendo.vn/thiet-bi-y-te/vat-tu-y-te/ghe-bo-ve-sinh/,2738,Ghế bô vệ sinh,128,1992-1995-2738,2017-2018-2019-2738-2020
https://www.sendo.vn/thiet-bi-y-te/may-moc-y-te/may-xong-mui-hong/,2739,Máy xông mũi họng,439,1992-1997-2739,2026-2027-2028-2029-2030-2739-2740
https://www.sendo.vn/thiet-bi-y-te/may-moc-y-te/may-tro-thinh/,2740,Máy trợ thính,297,1992-1997-2740,2026-2027-2028-2029-2030-2739-2740
https://www.sendo.vn/thiet-bi-y-te/cham-soc-suc-khoe/bo-giac-hoi/,2741,Bộ giác hơi,409,1992-1993-2741,1998-1999-2000-2001-2004-2731-2741-2746-2747-2748-2005-2006-2007-2008-4106-2009
https://www.sendo.vn/my-pham/trang-diem-mat/phan-nuoc-cushion/,2742,Phấn nước - Cushion,1434,220-247-2742,249-251-252-250-248-256-253-2742-2952-2953-3356
https://www.sendo.vn/my-pham/trang-diem-moi/son-li/,2745,Son lì,3792,220-263-2745,267-264-266-2745-2954-2955-3367-3627-2956-3628
https://www.sendo.vn/thiet-bi-y-te/cham-soc-suc-khoe/cham-soc-chan-thuong/,2746,Chăm sóc chấn thương,511,1992-1993-2746,1998-1999-2000-2001-2004-2731-2741-2746-2747-2748-2005-2006-2007-2008-4106-2009
https://www.sendo.vn/thiet-bi-y-te/cham-soc-suc-khoe/thuoc-mo-kem/,2747,Kem bôi ngoài da,741,1992-1993-2747,1998-1999-2000-2001-2004-2731-2741-2746-2747-2748-2005-2006-2007-2008-4106-2009
