Domain,Url,Product_id,Time,Rating,Comment
['yes24.vn'],https://www.yes24.vn/glucosamine-dang-nuoc-joint-movement-glucosamine-liquid-480ml-p1965496.html,1965496,2018-11-14_10-44-29,5,"Hơi khó uống, không biết tác dụng của thuốc ra sao. Mới uống lần đầu."
['yes24.vn'],https://www.yes24.vn/thuoc-cung-cap-vitamin-va-khoang-chat-lab-well-multi-vitas-60-vien974811-p1529719.html,1529719,2018-11-29_15-22-20,5,"Hàng đóng gói cẩn thận, giao nhanh. Hàng chất lượng tốt, có cả tem Yes 24 đóng kín tem trên hộp."
['yes24.vn'],https://www.yes24.vn/thuoc-cung-cap-vitamin-va-khoang-chat-lab-well-multi-vitas-60-vien974811-p1529719.html,1529719,2017-04-19_00-28-41,5,Hàng như hình
['yes24.vn'],https://www.yes24.vn/nhuy-hoa-nghe-tay-cao-cap-saffron-salam-negin-organic-p1968585.html,1968585,2018-11-30_09-11-28,5,"Mình cũng đang dùng saffron mua từ Hà Nội , nhưng may quá, Yes24 đã kịp có sản phẩm này, rất tin tưởng về dòng saffron của cty Saffron VietNam, mừng quá đây, dùng mã ưu đãi thành viên Yes24, mua tiện lợi và giao mình cũng gần hơn nữa , cám ơn Yes24"
['yes24.vn'],https://www.yes24.vn/vien-uong-bo-sung-vitamin-va-khoang-chat-cho-nam-gioi-puritans-pride-mens-one-daily-multivitamin-100-vien-13046-p1770976.html,1770976,2017-05-10_23-35-01,5,Chất lượng tốt
['yes24.vn'],https://www.yes24.vn/vien-uong-ho-tro-xuong-puritans-pride-chelated-calcium-magnesium-zinc-100-vien-4290-p1715105.html,1715105,2018-07-28_16-46-35,1,"Hsd 2020, đóng gói cẩn thận"
['yes24.vn'],https://www.yes24.vn/thuc-pham-bo-sung-tang-ky-optimum-nutrition-serious-mass-chocolate-6lbs-p1857541.html,1857541,2018-05-25_14-56-12,5,"Mình đã nhận được hàng, sản phẩn được đóng gói rất cẩn thận, và có phiếu đổi trả hàng nếu hàng không đúng chuẩn. Rất yên tâm khi mua hàng ở Yes24.vn"
['yes24.vn'],https://www.yes24.vn/thuc-pham-bo-sung-tang-ky-optimum-nutrition-serious-mass-chocolate-6lbs-p1857541.html,1857541,2018-01-02_22-12-13,5,Mình vẫn chưa nhận dc hàng
['yes24.vn'],https://www.yes24.vn/nuoc-uong-nhau-thai-cuu-480ml-fracora-placenta-150000mgdd0477-p1634544.html,1634544,2018-11-09_22-50-16,5,Sản phẩm dễ uống chưa biết có tác dụng không
['yes24.vn'],https://www.yes24.vn/nuoc-uong-nhau-thai-cuu-480ml-fracora-placenta-150000mgdd0477-p1634544.html,1634544,2017-08-24_10-51-55,5,Hy vọng tốt
['yes24.vn'],https://www.yes24.vn/nuoc-uong-nhau-thai-cuu-480ml-fracora-placenta-150000mgdd0477-p1634544.html,1634544,2016-07-29_11-03-01,5,"thích cái này, lúc bên Nhật uống mà ghiền"
['yes24.vn'],https://www.yes24.vn/vien-uong-bo-khop-alltimes-care-4-in-one-jointatc001-p1599226.html,1599226,2018-11-23_22-35-29,5,"Nghe mọi người khen mình mua dùng thử, hy vọng tốt để mua thêm."
['yes24.vn'],https://www.yes24.vn/vien-uong-bo-khop-alltimes-care-4-in-one-jointatc001-p1599226.html,1599226,2015-10-31_11-30-52,5,"bớt đau vai gáy, nhức mỏi, mà tiện dụng"
['yes24.vn'],https://www.yes24.vn/vien-uong-bo-khop-alltimes-care-4-in-one-jointatc001-p1599226.html,1599226,2015-10-30_13-53-15,5,"Bệnh xương khớp của ba tôi đã thiện rất nhiều, tôi rất vui"
