Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Info
lazada.vn,https://www.lazada.vn/products/xiaomi-redmi-6a-16gb-ram-2gb-hang-phan-phoi-chinh-thuc-i225077128-s284003555.html?search=1,225077128,Xiaomi,Điện thoại di động,Xiaomi Redmi 6A 16GB Ram 2GB – Hãng phân phối chính thức ,2.149.000 ₫,Lazada Retail Xiaomi,CHƯƠNG TRÌNH GIẢM GIÁ ĐẶC BIỆT DUY NHẤT NGÀY 11.11 XEM BÊN DƯỚI 
lazada.vn,https://www.lazada.vn/products/dien-thoai-blackberry-leap-i244517377-s313374932.html?search=1,244517377,Blackberry,Điện thoại di động,Điện thoại BlackBerry Leap,999.000 ₫,dienmaysocom,Điện Thoại BlackBerry Leap Ram 2GB Rom 16Gb 
lazada.vn,https://www.lazada.vn/products/nokia-6300-gold-chinh-hang-full-box-i247226433-s320571121.html?search=1,247226433,No Brand,Điện thoại di động,Nokia 6300 gold chính hãng full box,295.000 ₫,ngocthanha12,Xuất xứ:Hàng chính hãng. 
lazada.vn,https://www.lazada.vn/products/dien-thoai-smartphone-lv6-man-hinh-rong-ket-noi-wifi3g-toc-do-cao-bao-hanh-12-thang-full-box-tang-kem-op-lung-i213251157-s267071818.html?search=1,213251157,LV mobile,Điện thoại di động,"Điện thoại Smartphone LV6 Màn hình rộng, kết nối wifi,3G tốc độ cao- Bảo hành 12 tháng full box+ Tặng kèm ốp lưng",949.000 ₫,Hàng tại kho không lo về giá,THÔNG TIN CHI TIẾT 
lazada.vn,https://www.lazada.vn/products/xiaomi-mi-6x-64gb-ram-6gb-kim-nhung-den-hang-nhap-khau-i211399300-s264612585.html?search=1,211399300,Xiaomi,Điện thoại di động,Xiaomi Mi 6X 64GB Ram 6GB Kim Nhung (Đen) - Hàng nhập khẩu,4.540.750 ₫,Kim Nhung Mobile,M&agrave;n h&igrave;nh : 5.99 inch 
lazada.vn,https://www.lazada.vn/products/khuyen-mai-anica-s5-the-dien-thoai-di-dong-bluetooth-mat-so-gprs-dinh-vi-chong-mat-dien-thoai-di-dong-i249021888-s327385092.html?search=1,249021888,Anica,Điện thoại di động,[Khuyến mại] Anica S5 Thẻ Điện Thoại Di Động Bluetooth Mặt Số GPRS Định Vị Chống mất Điện Thoại Di Động,858.500 ₫,willowing,"Mở khóa, có thể thay đổi số IMEI. "
lazada.vn,https://www.lazada.vn/products/smartphone-zip8-4gb-gold-hang-nhap-khau-tang-kem-op-deo-i104633440-s105684735.html?search=1,104633440,Zip Mobile,Điện thoại di động,Smartphone Zip8 4Gb ( Gold)- Hàng nhập khẩu+ Tặng kèm ốp dẻo,969.000 ₫,Hàng tại kho không lo về giá,- Màn hình: IPS 5” QHD.- MTK 6580 Quad core 1.3Ghz 
lazada.vn,https://www.lazada.vn/products/dien-thoai-gia-re-zip8-ram-1g-man-hinh-5-inch-tang-kem-damden-ledop-lung-i207066675-s257536126.html?search=1,207066675,Zip Mobile,Điện thoại di động,Điện Thoại Giá Rẻ ZIP8 + Ram 1G Màn hình 5 inch + Tặng kèm đầm+đèn led+ốp lưng,989.000 ₫,Mai Linh Shop.,GIAO NGẪU NHIÊN LV6+ HOẶC ZIP8 THEO LÔ HÀNG 
lazada.vn,https://www.lazada.vn/products/dien-thoai-gia-re-zip8-2-sim-bh-1-nam-tang-kem-1-den-led-usbop-lung-i207602222-s258126653.html?search=1,207602222,Zip Mobile,Điện thoại di động,Điện Thoại Giá Rẻ ZIP8-2 sim-BH 1 năm-Tặng Kèm 1 Đèn Led USB+Ốp Lưng,965.000 ₫,Xuân Mai Shop.,** GIAO HÀNG NGẪU NHIÊN LV6+ HOẶC ZIP8** 
lazada.vn,https://www.lazada.vn/products/sieu-mong-50-inch-dien-thoai-thong-minh-quad-core-android44-50mp-camera-thong-minh-dual-sim-1-gam-8-gam-dien-thoai-my-cam-i246371300-s316489045.html?search=1,246371300,OEM,Điện thoại di động,"Siêu mỏng 5.0 ""Inch Điện Thoại Thông Minh Quad Core Android4.4 5.0MP Camera Thông Minh Dual SIM 1 gam + 8 gam Điện Thoại MỸ cắm",840.000 ₫,maiyuesi,Tính năng: 
